date,AAPL,MSFT,GOOGL,META,AMZN,NVDA,ADBE,CRM,ORCL,INTC
2020-11-03 00:00:00+00:00,107.1336386829,196.6628184568,81.604990548,263.2543262293,152.4205,12.964191645,454.02,233.6474122471,52.6518891655,40.2500436194
2020-11-04 00:00:00+00:00,111.5086179518,206.1515636577,86.5732124183,285.1640718876,162.058,13.7356504166,487.23,247.0575302443,52.3645285028,41.0128649589
2020-11-05 00:00:00+00:00,115.4664705942,212.7250919596,87.3988526433,292.407783088,166.1,14.099846668,496.47,256.3983031035,52.5221133824,41.2910703886
2020-11-06 00:00:00+00:00,115.3355122347,213.1347466219,87.2614938791,291.147575797,165.5685,14.5001389251,494.63,256.329331152,52.6518891655,41.0289335582
2020-11-09 00:00:00+00:00,113.0324945922,208.05693418,87.3452976017,276.6204618279,157.187,13.5728449837,471.14,255.4721083263,52.6889679607,41.2187567802
2020-11-10 00:00:00+00:00,112.6923865015,201.0261169528,86.1700619661,270.3293482648,151.751,12.7157515501,452.0,244.0227643787,52.5313830812,41.0741295634
2020-11-11 00:00:00+00:00,116.1129021563,206.3039932995,86.6416438604,274.3481195472,156.8695,13.3609987705,467.75,250.4470090034,53.0226771174,41.8966968588
2020-11-12 00:00:00+00:00,115.8408156837,205.2465126596,86.4229607738,272.9589146594,155.514,13.399584156,462.58,245.7569163019,52.3274497076,40.6312087121
2020-11-13 00:00:00+00:00,115.8894025538,206.2658858891,87.8828315379,274.8144954738,156.4405,13.2405127926,469.34,245.8455945252,52.7538558523,41.0922079655
2020-11-16 00:00:00+00:00,116.9000094518,206.9518192771,87.9706023006,276.8089967769,156.553,13.4578356412,460.95,246.2200136905,52.9763286234,41.7520696421
2020-11-17 00:00:00+00:00,116.0157284161,204.3128811037,87.357198722,272.879531523,156.783,13.365230716,467.95,252.4077830529,52.948519527,41.1554823729
2020-11-18 00:00:00+00:00,114.6941655495,201.6263086673,86.3148589305,269.8728952302,155.273,13.3717031033,459.47,253.3832435097,52.1420557317,40.7306399236
2020-11-19 00:00:00+00:00,115.2869253646,202.9062937612,87.2039717974,270.8354157596,155.851,13.3831542499,466.41,260.7632423194,52.3274497076,41.2368351823
2020-11-20 00:00:00+00:00,114.0236667421,200.9672118652,86.1036140441,267.6203987336,154.97,13.0321517111,462.92,254.2503194713,51.6322222979,41.0289335582
2020-11-23 00:00:00+00:00,110.6323032094,200.6997522934,85.6662478709,266.3601914426,154.9195,13.084179747,460.61,253.8561940342,51.9844708522,41.6345600284
2020-11-24 00:00:00+00:00,111.9149965799,204.2818001307,87.4682758454,274.7847267976,155.903,12.9027039662,462.7,257.009197531,53.3656559729,42.493284128
2020-11-25 00:00:00+00:00,112.7506907456,204.2913522583,87.4796810857,273.4649821543,159.2535,13.1785272379,470.08,243.1951009608,53.2173407921,42.5294409322
2020-11-27 00:00:00+00:00,113.2948636907,205.5904416073,88.61475044,275.6678641906,159.767,13.2049146628,477.03,243.9932049709,53.54178025,42.8910089741
2020-11-30 00:00:00+00:00,115.6853376994,204.4823948096,86.9971898311,274.8343412579,158.402,13.3445688645,478.47,242.1900810962,53.5047014548,43.7045370685
2020-12-01 00:00:00+00:00,119.2516139645,206.5265501088,89.0283143726,284.340471847,161.004,13.3331177178,479.15,237.8054356085,54.4502107321,44.7982803953
2020-12-02 00:00:00+00:00,119.6014394292,205.7241713932,90.496615097,285.3029923763,160.1765,13.4869613838,481.26,217.5375350057,54.7653804912,45.105613231
2020-12-03 00:00:00+00:00,119.4653961929,204.6447809782,90.3414046523,279.6767125809,159.3365,13.3430752366,484.28,217.7247445884,54.9415047683,46.0908861452
2020-12-04 00:00:00+00:00,118.7948973856,204.759406509,90.4366136151,277.543290789,158.129,13.5046842212,486.0,222.5429280569,55.5811139853,46.9902866495
2020-12-07 00:00:00+00:00,120.2525034885,204.6925416161,90.1028863651,283.3779513176,157.9,13.5529926079,492.25,224.3559050675,55.4327988046,45.3767892624
2020-12-08 00:00:00+00:00,120.8646980517,206.3355075575,89.8202347565,281.2147608495,158.8645,13.2972569729,495.28,224.5135552424,54.7190319972,45.8197101138
2020-12-09 00:00:00+00:00,118.3381808067,202.3140618521,88.1605243463,275.7770160032,155.21,12.879663341,483.74,217.3306191513,55.367910913,45.2592796488
